Original City,Date,API City,API Country,API Longitude,API Latitude,Max Temperature,% Humidity,% Cloudiness,Wind Speed,Sunrise Time,Sunset Time
usta muhammad,1544405925,Usta Muhammad,PK,68.05,28.18,13.15,94,0,1.21,1544407711,1544445145
umm lajj,1544405926,Umm Lajj,SA,37.27,25.02,14.8,100,0,3.21,1544414700,1544452936
nuuk,1544403000,Nuuk,GL,-51.74,64.17,-9.0,72,36,7.2,1544447250,1544463113
inta,1544405928,Inta,RU,60.13,66.04,-6.93,76,76,3.01,1544422526,1544434121
sao joao da barra,1544405932,Sao Joao da Barra,BR,-41.05,-21.64,24.28,100,64,5.71,1544428461,1544476791
rorvik,1544405940,Rorvik,NO,11.24,64.86,-0.85,100,64,2.16,1544432810,1544447312
ninotsminda,1544403600,Ninotsminda,GE,43.59,41.27,0.0,99,75,1.11,1544415612,1544448986
meulaboh,1544405942,Meulaboh,ID,96.13,4.14,28.25,100,0,1.21,1544398286,1544441093
pangnirtung,1544405947,Pangnirtung,CA,-65.72,66.15,-30.08,97,0,1.51,1544452951,1544464123
trinidad,1544405951,Trinidad,UY,-56.9,-33.52,18.15,85,0,1.31,1544430645,1544482223
banjar,1544405954,Banjar,ID,108.54,-7.37,27.33,82,68,1.66,1544394133,1544439290
kainantu,1544405960,Kainantu,PG,145.87,-6.29,19.9,94,92,0.71,1544385283,1544430215
souillac,1544403600,Souillac,MU,57.52,-20.52,23.0,94,75,2.6,1544404934,1544452990
provost,1544405975,Provost,CA,-110.26,52.35,-20.08,49,0,1.41,1544455201,1544483265
poros,1544405977,Poros,GR,21.53,40.11,-4.43,88,24,0.96,1544420697,1544454493
coihaique,1544403600,Coihaique,CL,-72.07,-45.58,14.0,67,0,1.0,1544431981,1544488179
bozeman,1544404500,Bozeman,US,-111.04,45.68,-5.0,73,1,6.2,1544453644,1544485199
axim,1544405981,Axim,GH,-2.24,4.87,27.33,100,76,4.11,1544421977,1544464634
yakeshi,1544405990,Yakeshi,CN,120.73,49.28,-22.08,44,0,2.21,1544398849,1544428707
atagay,1544405993,Atagay,RU,99.39,55.1,-26.0,64,48,1.16,1544405773,1544432027
madimba,1544400000,Madimba,TZ,40.33,-10.4,26.0,94,40,2.31,1544410190,1544455984
mustasaari,1544404800,Mustasaari,FI,21.67,63.17,3.0,93,88,4.1,1544428735,1544446380
muros,1544403600,Muros,ES,-9.06,42.77,9.0,100,20,2.1,1544428544,1544461334
kajaani,1544404800,Kajaani,FI,27.73,64.22,0.0,91,90,3.6,1544428198,1544444007
batticaloa,1544406012,Batticaloa,LK,81.69,7.71,25.73,100,88,3.11,1544402117,1544444194
mitu,1544406014,Mitu,CO,-70.17,1.2,24.28,91,64,1.16,1544437912,1544481316
nicoya,1544403600,Nicoya,CR,-85.45,10.15,28.0,61,0,7.7,1544442498,1544484066
tahe,1544406020,Tahe,CN,124.71,52.34,-18.13,43,0,3.11,1544398762,1544426882
kudahuvadhoo,1544406022,Kudahuvadhoo,MV,72.89,2.67,28.8,98,92,3.61,1544403716,1544446822
cotonou,1544403600,Cotonou,BJ,2.43,6.37,28.0,83,20,1.0,1544421009,1544463360
mountain home,1544403480,Mountain Home,US,-115.69,43.13,1.7,100,1,8.7,1544454222,1544486854
kichera,1544406030,Kichera,RU,110.1,55.93,-23.43,100,48,1.06,1544403515,1544429143
dire,1544406032,Dire,ML,-10.97,12.28,14.53,68,0,1.16,1544424840,1544465962
bella vista,1544403600,Bella Vista,PY,-55.58,-27.04,25.0,61,0,3.1,1544431262,1544480968
kharp,1544406045,Kharp,RU,65.8,66.82,-15.48,62,44,1.76,1544422472,1544431452
muroto,1544403600,Muroto,JP,134.14,33.37,9.0,45,75,3.6,1544392562,1544428560
bria,1544406047,Bria,CF,21.99,6.54,16.8,68,12,1.66,1544416330,1544458647
batagay,1544406050,Batagay,RU,134.64,67.65,-38.08,70,56,1.66,1544408117,1544412752
victor harbor,1544403600,Victor Harbor,AU,138.62,-35.55,25.0,31,0,6.7,1544383390,1544435600
barguzin,1544406064,Barguzin,RU,109.63,53.62,-22.7,60,64,0.66,1544402795,1544430089
riohacha,1544406049,Riohacha,CO,-72.91,11.54,26.93,85,0,8.36,1544439633,1544480909
ponta delgada,1544403600,Ponta Delgada,PT,-25.67,37.73,18.0,88,40,5.7,1544431619,1544466235
asyut,1544403600,Asyut,EG,31.19,27.18,8.0,75,0,3.6,1544416432,1544454123
erenhot,1544406071,Erenhot,CN,111.97,43.65,-17.98,50,32,2.11,1544399656,1544432109
yumen,1544406073,Yumen,CN,97.04,40.29,-15.83,70,32,4.26,1544402596,1544436337
nelson bay,1544403600,Nelson Bay,AU,152.14,-32.72,25.0,65,75,6.2,1544380593,1544431903
bada,1544406080,Bada,RU,109.87,51.39,-22.33,59,56,1.61,1544402041,1544430729
sept-iles,1544403600,Sept-Iles,CA,-66.38,50.2,-14.0,71,75,2.6,1544444034,1544473364
nanortalik,1544406087,Nanortalik,GL,-45.24,60.14,-1.48,84,68,7.96,1544442790,1544464454
bugene,1544406099,Bugene,TZ,31.14,-1.59,16.05,100,80,1.06,1544413307,1544457278
fuling,1544406101,Fuling,CN,107.39,29.71,3.93,98,64,1.66,1544398469,1544435498
spassk-ryazanskiy,1544406102,Spassk-Ryazanskiy,RU,40.38,54.41,0.48,94,92,6.36,1544419699,1544446436
puerto baquerizo moreno,1544403600,Puerto Baquerizo Moreno,EC,-89.6,-0.9,23.0,78,0,4.1,1544442364,1544486195
ornskoldsvik,1544404800,Ornskoldsvik,SE,18.72,63.29,3.0,100,92,2.1,1544429542,1544446990
isangel,1544403600,Isangel,VU,169.27,-19.55,28.0,65,40,3.1,1544378223,1544426043
alice springs,1544403600,Alice Springs,AU,133.88,-23.7,33.0,21,0,4.1,1544386217,1544435044
flinders,1544403600,Flinders,AU,150.85,-34.58,22.0,88,68,3.1,1544380612,1544432505
algiers,1544403600,Algiers,DZ,3.04,36.75,7.0,93,20,2.1,1544424564,1544459505
sterling,1544405700,Sterling,US,-77.4,39.0,0.8,68,75,4.1,1544444258,1544478435
kosh-agach,1544406146,Kosh-Agach,RU,88.66,49.99,-32.43,31,0,1.11,1544406741,1544436214
monrovia,1544403600,Monrovia,LR,-10.8,6.33,25.0,94,40,3.31,1544424181,1544466540
bukachacha,1544406156,Bukachacha,RU,116.91,52.99,-30.13,60,12,1.06,1544400840,1544428549
salinopolis,1544406165,Salinopolis,BR,-47.36,-0.61,27.75,95,80,4.46,1544432252,1544476024
lodja,1544406168,Lodja,CD,23.6,-3.52,20.0,98,64,1.01,1544414921,1544459285
hashtrud,1544406170,Hashtrud,IR,47.05,37.48,-5.83,76,12,1.36,1544414116,1544448822
shuangyang,1544406174,Shuangyang,CN,118.61,25.0,16.93,79,100,2.36,1544395167,1544433413
kitimat,1544403600,Kitimat,CA,-128.69,54.02,0.0,100,75,3.1,1544460173,1544487142
dodoma,1544406182,Dodoma,TZ,35.75,-6.18,17.58,98,88,1.51,1544411731,1544456642
